Institution,Longitude,Latitude
Santa Barbara Business College-Santa Maria,-120.433296,34.937806
Santa Barbara City College,-119.698045,34.406788
Santa Clara University,-121.93784,37.348362
Santa Monica College,-118.469765,34.017022
Santa Rosa Junior College,-122.720689,38.454159999999995
Saybrook University,-122.27239099999998,37.80446
Scripps College,-117.711294,34.104147
College of the Sequoias,-119.314775,36.322957
Shasta Bible College and Graduate School,-122.314419,40.566034
Shasta College,-122.317982,40.625731
Sierra College,-121.211688,38.790773
Sierra College of Beauty,-120.495874,37.306975
Trinity Law School,-117.85205900000001,33.766071000000004
Simpson University,-122.333048,40.61331
College of the Siskiyous,-122.38916599999999,41.413848
Charles A Jones Career and Education Center,-121.44111000000001,38.51651
Skyline College,-122.467335,37.63042
San Bernardino Valley College,-117.313248,34.086353
Saint Mary's College of California,-122.109031,37.840731
Solano Community College,-122.122368,38.235881
Sonoma State University,-122.677066,38.340274
South Baylo University,-117.95866299999999,33.847936
South Coast College,-117.874031,33.78818
Vanguard University of Southern California,-117.90091100000001,33.662686
Concorde Career College-Garden Grove,-117.938395,33.774741
Southwestern College,-116.997215,32.641566999999995
St John's Seminary,-119.00186699999999,34.243921
Starr King School for the Ministry,-122.261778,37.876939
State Center Community College District,-119.792755,36.768865000000005
Marshall B Ketchum University,-117.886229,33.889348
Southern California Institute of Architecture,-118.232799,34.044215
University of Southern California,-118.28416899999999,34.021281
Southwestern Law School,-118.288375,34.061558000000005
Taft College,-119.459751,35.149343
Claremont School of Theology,-117.71525600000001,34.107602
Thomas Aquinas College,-119.08714099999999,34.429009
Epic Bible College,-121.362642,38.645152
University of California-System Administration Central Office,-122.27134,37.802222
United Education Institute-Huntington Park Campus,-118.226206,33.986057
Concorde Career College-San Bernardino,-117.28399499999999,34.066823
Universal College of Beauty Inc-Los Angeles 1,-118.29216100000001,33.959453
Concorde Career College-North Hollywood,-118.403627,34.186407
Ventura County Community College System Office,-119.298672,34.301724
Ventura College,-119.230659,34.277035
The Santa Barbara and Ventura Colleges of Law at Ventura,-119.23298799999999,34.25747
Victor Valley College,-117.26145600000001,34.472231
